Category,Term,LogP,count
Hallmark Gene Sets,HALLMARK TNFA SIGNALING VIA NFKB,-7.572335402,30
Hallmark Gene Sets,HALLMARK P53 PATHWAY,-5.44830144,26
Hallmark Gene Sets,HALLMARK FATTY ACID METABOLISM,-5.191490244,22
Hallmark Gene Sets,HALLMARK ANDROGEN RESPONSE,-4.698298879,16
Hallmark Gene Sets,HALLMARK UV RESPONSE UP,-4.671850763,21
Hallmark Gene Sets,HALLMARK UV RESPONSE DN,-3.749642249,18
Hallmark Gene Sets,HALLMARK APOPTOSIS,-3.154742863,18
Hallmark Gene Sets,HALLMARK DNA REPAIR,-3.078642456,17
Hallmark Gene Sets,HALLMARK XENOBIOTIC METABOLISM,-2.828610718,20
Hallmark Gene Sets,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,-2.828610718,20
Hallmark Gene Sets,HALLMARK KRAS SIGNALING UP,-2.828610718,20
Hallmark Gene Sets,HALLMARK INTERFERON GAMMA RESPONSE,-2.465567485,19
Hallmark Gene Sets,HALLMARK INTERFERON ALPHA RESPONSE,-2.188117458,11
Hallmark Gene Sets,HALLMARK HEME METABOLISM,-2.12537613,18
Hallmark Gene Sets,HALLMARK ADIPOGENESIS,-1.808794019,17
Hallmark Gene Sets,HALLMARK COMPLEMENT,-1.808794019,17
Hallmark Gene Sets,HALLMARK CHOLESTEROL HOMEOSTASIS,-1.612659805,8
Hallmark Gene Sets,HALLMARK IL2 STAT5 SIGNALING,-1.533954226,16
Hallmark Gene Sets,HALLMARK ALLOGRAFT REJECTION,-1.516597114,16
Hallmark Gene Sets,HALLMARK TGF BETA SIGNALING,-1.368390885,6
Hallmark Gene Sets,HALLMARK WNT BETA CATENIN SIGNALING,-1.315629297,5
