"","Gene.symbol","Log2FoldChange","ENTREZID"
"1","EIF5A",5.604523822,"1984"
"2","RHOA",5.506850767,"387"
"3","SCOC",5.444867224,"60592"
"4","MAD2L1",5.205488861,"4085"
"5","ARPC4",5.195515661,"10093"
"6","PDCD4",4.712027583,"27250"
"7","AGTR1",4.678188554,"185"
"8","ENO1",4.611346835,"2023"
"9","ARHGAP5",4.596130108,"394"
"10","ARF1",4.558125046,"375"
"11","RIOK3",4.438182033,"8780"
"12","EIF2S3",4.381810896,"1968"
"13","DPP4",4.37334278,"1803"
"14","AKIRIN1",4.285802484,"79647"
"15","PAPOLA",4.256153539,"10914"
"16","HIBADH",4.179241684,"11112"
"17","SMC3",4.141130023,"9126"
"18","HSP90AB1",4.095951589,"3326"
"19","CPE",4.06487279,"1363"
"20","TSPAN4",4.062171019,"7106"
"21","POLR2E",4.025534608,"5434"
"22","TAF11",4.009068478,"6882"
"23","PSAT1",3.971372767,"29968"
"24","CAT",3.918608656,"847"
"25","SLC39A6",3.908740338,"25800"
"26","SEC23A",3.905414305,"10484"
"27","P4HB",3.871956005,"5034"
"28","DUSP1",3.850679137,"1843"
"29","FGB",3.824299662,"2244"
"30","APOE",3.81745108,"348"
"31","AIP",3.794861579,"9049"
"32","TUBB2A",3.785606992,"7280"
"33","STIP1",3.761490422,"10963"
"34","HLA-G",3.750830628,"3135"
"35","TMEM165",3.730197354,"55858"
"36","TIMM23",3.704186636,"100287932"
"37","CCZ1B",3.680210217,"221960"
"38","RAC3",3.621339216,"5881"
"39","PLPP3",3.596758221,"8613"
"40","CAPN7",3.589943262,"23473"
"41","SLC19A3",3.586984111,"80704"
"42","SLC30A5",3.5710315,"64924"
"43","MIGA1",3.546318379,"374986"
"44","ELP5",3.536452785,"23587"
"45","ARF6",3.506181582,"382"
"46","HPGD",3.499025064,"3248"
"47","NAMPT",3.492339249,"10135"
"48","XRN2",3.491699624,"22803"
"49","PRPF4",3.479412258,"9128"
"50","TMX1",3.471712801,"81542"
"51","ACTR2",3.470787235,"10097"
"52","CHMP4B",3.446586343,"128866"
"53","GATAD1",3.417401263,"57798"
"54","GMDS",3.404232112,"2762"
"55","SERPINC1",3.400692999,"462"
"56","KRCC1",3.380522042,"51315"
"57","GLUD2",3.357324432,"2747"
"58","AKR1C2",3.356476355,"1646"
"59","STRN3",3.349286446,"29966"
"60","SAV1",3.344233437,"60485"
"61","CNOT8",3.324776792,"9337"
"62","TAGLN2",3.305757096,"8407"
"63","KCTD6",3.303117527,"200845"
"64","ARFGEF1",3.286974435,"10565"
"65","C1orf174",3.283036192,"339448"
"66","NRBF2",3.272798152,"29982"
"67","SGPP1",3.270583824,"81537"
"68","MED30",3.268649576,"90390"
"69","AGTRAP",3.268213897,"57085"
"70","ADPRM",3.264008836,"56985"
"71","CDC37",3.260205302,"11140"
"72","MAD2L2",3.259414432,"10459"
"73","CA4",3.234629513,"762"
"74","RAD21",3.231731143,"5885"
"75","UGT1A10",3.205551976,"54575"
"76","UGT1A7",3.205551976,"54577"
"77","UGT1A6",3.205551976,"54578"
"78","UGT1A5",3.205551976,"54579"
"79","UGT1A4",3.205551976,"54657"
"80","UGT1A1",3.205551976,"54658"
"81","UGT1A3",3.205551976,"54659"
"82","TNFRSF21",3.186368204,"27242"
"83","EDEM3",3.184279358,"80267"
"84","TIPRL",3.17523998,"261726"
